idea_text,label,source
Mr. Tod's Pie Factory - Food_Beverage: Southern style pies and desserts,1,SharkTank
Ionic Ear - Software_Tech: surgically implant bluetooth device for your ear,0,SharkTank
Wispots - Software_Tech: interactive tele-health patient center,0,SharkTank
Ava The Elephant - Children: playful singing elephant medicine dispenser for kids that takes the fera and enxiety out of medicine time,1,SharkTank
College Foxes Packing Boxes - Services: packing and junk removal service franchise,0,SharkTank
Crooked Jaw - Clothing_Fashion: Action sport and MMA streetwear apparel,0,SharkTank
Lifebelt - Software_Tech: device that prevents people from driving without seat belts,0,SharkTank
A Perfect Pear - Food_Beverage: line of organic pear jams and other recipes,1,SharkTank
Sticky Note Holder - Lifestyle_Home: sticky note holder for laptops,0,SharkTank
Classroom Jams - Education: educational record label and publishing house designed to get students into learning about classic works of literature,1,SharkTank
Turbobaster - Lifestyle_Home: Battery-operated alternative to the traditional bulb turkey baster,1,SharkTank
Chopstick Art - Children: exquisitely crafted bamboo products made from recycled chopsticks,0,SharkTank
"Stress Free Kids - Children: line of books and CDs that will help children to manage stress, while promoting their self-esteem and a more peaceful sleep.",1,SharkTank
50 State Capitals - Education: educational card game that helps people learn the states,0,SharkTank
Voyage Air Guitar - Other: guitars with a folding neck for easy storage,0,SharkTank
Gift Card Rescue - Software_Tech: online marketplace that allows users to sell and exchange unused gift cards,1,SharkTank
Soul's Calling - Clothing_Fashion: life style and accessory brand featuring positive messages,0,SharkTank
Coffee Brand Gifts - Accessories_Gadgets: novelty coffee-themed gift items,0,SharkTank
Graffiti Removal Services - Services: graffiti removal service franchise,0,SharkTank
Coverplay - Children: machine washable cover for childrens play yards,1,SharkTank
Body Jac - Fitness_Outdoors: push up stand,1,SharkTank
Face Blok - Clothing_Fashion: fashionable surgical masks for people with an edgy sense of humor,0,SharkTank
Granola Gourmet - Food_Beverage: low glycemic energy bars,0,SharkTank
Good Grief Celebrations - Services: funeral services including eulogy writing,0,SharkTank
My Therapy Journal - Software_Tech: online cognitive behavioural and journal tool,1,SharkTank
Element Bars - Food_Beverage: Customizable energy bars where customers choose the ingredients,1,SharkTank
The Fizz - Food_Beverage: root beer float in a bottle,0,SharkTank
Underease Underwear - Clothing_Fashion: Charcoal-infused underwear to help minimize the smell of flatulence,0,SharkTank
Kalyx Techologies - Clothing_Fashion: comfortable sports bras that help reduce exercise pain,0,SharkTank
Pork Barrel BBQ - Food_Beverage: barbeque and rub spices,1,SharkTank
Grill Charms - Lifestyle_Home: stainless steel gadget for cooking meats to the perfect temperature,1,SharkTank
FunHouse - Media_Entertainment: Live entertainment venues and attractions throughout Time Square,0,SharkTank
Boogie Box Fitness - Fitness_Outdoors: dance fitness routines,0,SharkTank
Soy-Yer-Dough - Children: Gluten free play dough,1,SharkTank
Notehall - Software_Tech: Online document marketplace that enables students to buy and sell class notes,1,SharkTank
Treasure Chest Pets - Children: Stuffed pets with a hidden compartment for storing little treasures,1,SharkTank
Throx - Clothing_Fashion: Sets of three socks for when you lose an extra sock,0,SharkTank
Washed Up Hollywood - Clothing_Fashion: Unique hardware fashion accessories,0,SharkTank
"Chill Soda - Food_Beverage: low calorie, vitamin-infused carbonated beverages",1,SharkTank
Cornucopia - PetProducts: high quality pet food supplements and meals,0,SharkTank
Virtusphere - Software_Tech: Completely immersive hollow virtual reality system,0,SharkTank
Gayla Bentley Fashion - Clothing_Fashion: Women’s plus size fashion apparel,1,SharkTank
The Bobble Place - Lifestyle_Home: custom bobblehead toys,0,SharkTank
Mr. Poncho - Lifestyle_Home: protective cover for mp3 players that also keep headphones from getting tangled,0,SharkTank
The Uro Club - Other: portable golf club urinal gag gift,1,SharkTank
"Jump Forward - Software_Tech: online service helping athletes, parents, coaches and college administrators navigate the college recruitment process",1,SharkTank
Romp 'n Roll - Children: chain of children’s play and learning centers,0,SharkTank
Hells Bells - Clothing_Fashion: custom 3D printed motorcycle helmets,1,SharkTank
The Chef In Black - Food_Beverage: line of California-Asian infusion salad dressings,1,SharkTank
Ink Flip - Services: printer ink cartridge refill service,0,SharkTank
The Factionist - Clothing_Fashion: line of t-shirts with social awareness messages,0,SharkTank
Podillow - Lifestyle_Home: face down massage pillow,0,SharkTank
Wee Can Shop - Children: miniature gift store for kids,0,SharkTank
Grease Monkey Wipes - Lifestyle_Home: Heavy duty multipurpose cleaning wipes,1,SharkTank
Lipstix Remix - Services: Reuse/repair broken or melted lipstick,1,SharkTank
Captain Ice Cream - Food_Beverage: Mobile ice cream franchise,0,SharkTank
Caffeindicator - Lifestyle_Home: Coffee testing system that tells you if your coffee is decaf or not,1,SharkTank
Legal Grind - Services: Legal resource center in a coffeehouse,0,SharkTank
