idea_text,label,source
CricketCooler - Fitness/Sports/Outdoors: An esky with attached cricket stumps,,SharkTank
"CASEBOARDS - Fitness/Sports/Outdoors: Portable, electric remote controlled skateboard that folds down to briefcase size",,SharkTank
Hamdog - Food and Beverage: Hamburger and hot dog combination,,SharkTank
EdibleBugShop - Business Services: CircleHarvest Edible insect business selling ground cricket flour,,SharkTank
ThroatScope - Health/Wellness: An illuminated tongue depressant device,,SharkTank
Surfsafe - Fitness/Sports/Outdoors: A device that is embedded in surfboards to deter shark attacks,,SharkTank
MobileTyreShop - Automotive: A mobile car tyre fitting shop that comes to you to professionally fit and rebalance tyres,,SharkTank
"Expocentric - Business Services: A company that designs, constructs and project manages custom exhibition stands",,SharkTank
Ranchero - Food and Beverage: Mexican Sauce and Salsa Business,,SharkTank
"RescueSwag - Lifestyle/Home: Comprehensive first aid kit that doubles as a sling, splint, compression device and water carrier",,SharkTank
HegsPegs - Lifestyle/Home: A peg with hooks,,SharkTank
"ScrubbaWashBag - Electronics: A portable washing machine for travel, camping and sportswear",,SharkTank
"Bottlepops - Fitness/Sports/Outdoors: Talking, sports themed bottle openers",,SharkTank
ThePartyPeople - Business Services: Party supplies company,,SharkTank
Hummingbirds - Children/Education: An all-abilities childcare facility,,SharkTank
TommySugo - Food and Beverage: A spaghetti and espresso restaurant,,SharkTank
WeTeachMe - Children/Education: An online marketplace for student courses,,SharkTank
CharliChair - Children/Education: A portable baby shower chair,,SharkTank
"TheDinnerLadies - Food and Beverage: Hot to Go, a spin-off of the original business",,SharkTank
GrownWoodenEyewear - Lifestyle/Home: Bamboo and wooden sunglasses,,SharkTank
crisp - Food and Beverage: A raw salad bar business,,SharkTank
FlyBabee - Children/Education: TravelMadeEasy pop up sleep cover for airline bassinets and strollers,,SharkTank
THREE65 - Fashion/Beauty: Men's underwear subscription business,,SharkTank
"Koja - Food and Beverage: Healthy, vegan, and gluten-free snack bars, toppers, and gift boxes",,SharkTank
"synxsole - Fashion/Beauty: Easy fit orthotics, insoles and shoe inserts",,SharkTank
HaloMedicalDevices - Health/Wellness: Digital goniometer used by physiotherapists,,SharkTank
PiccaninnyTinyTots - Children/Education: Kakadu tiny tots Children's clothing using authentic Aboriginal art,,SharkTank
sonseeWoman - Fashion/Beauty: Hosiery for plus size women,,SharkTank
ThoseGirls - Food and Beverage: Homemade iced tea business,,SharkTank
OnTheGoSports - Fitness/Sports/Outdoors: Custom sports apparel e-commerce,,SharkTank
CleverScore - Fitness/Sports/Outdoors: Design and manufacturing company for manual scoreboards,,SharkTank
